external_id,channel,received_at,language,text,is_synthetic
visa-02,jivo,2026-08-02,ru,виза инвестора и виза партнёра это одно и то же? и срок действия какой,true
visa-03,jivo,2026-09-08,en,"can i get a golden visa if i buy property for 2m aed? and what about my kids, are they included",true
visa-04,telegram,2026-08-16,ru,"продлеваю визу сотруднику, он уже в стране. что нужно и сколько дней займёт",true
visa-05,form,2026-07-24,ru,"Нужно оформить 3 рабочие визы для сотрудников, компания уже есть в SPC Free Zone.
Сотрудники приедут в октябре. Почта для ответа: hr@example-team.ae",true
visa-06,whatsapp,2026-08-30,ru,"алё, э-э... по визе вопрос, у меня виза заканчивается через две недели, а я в стране, что делать, штраф будет? перезвоните +971-56-000-0182",true
visa-07,jivo,2026-08-07,mixed,"мне нужен medical + emirates id для family visa, вы это делаете? или только для компаний",true
visa-08,telegram,2026-07-15,ru,"сколько виз можно на одну лицензию во фризоне? нам надо 6, говорят зависит от офиса",true
acct-01,jivo,2026-08-21,ru,"нужен бухгалтер на аутсорс, компания в IFZA, оборот небольшой. сколько в месяц выйдет",true
acct-02,whatsapp,2026-07-29,ru,"отказали в открытии счёта в банке, уже второй раз. поможете открыть хоть где-нибудь?",true
acct-03,telegram,2026-09-04,en,we need corporate tax registration and VAT filing. our FY ends in Dec. do you do bookkeeping too or only filings?,true
acct-04,form,2026-08-12,ru,"Нужен аудит за 2025 год и подача корпоративного налога. Компания в DMCC, около 40 транзакций в месяц, документы в порядке.",true
acct-05,jivo,2026-07-20,ru,"мы просрочили регистрацию по корпоративному налогу, штраф уже пришёл. что можно сделать?",true
acct-06,whatsapp,2026-08-26,ru,"хотим перейти от текущего бухгалтера к вам, есть косяки в отчётности за прошлый год. посмотрите сначала?",true
acct-07,jivo,2026-08-03,en,which bank opens accounts fastest for a freezone company with a non resident director? we tried 2 already,true
acct-08,telegram,2026-09-09,ru,нужен счёт в банке + платёжный шлюз для интернет-магазина. вы с этим помогаете или только регистрация?,true
spam-01,whatsapp,2026-08-17,en,"Hello! We are a leading SEO agency from Noida. We can rank your website #1 on Google in 3 months, guaranteed. Reply YES for pricing. Contact: growth@example-seo-agency.com",true
spam-02,telegram,2026-07-25,ru,"Здравствуйте! Предлагаю участие в арбитраже криптовалюты, доход 30% в месяц, депозит от 500$. Пишите в личку @example_crypto_bot",true
spam-03,form,2026-08-31,ru,"Добрый день! Меня зовут Дмитрий, ищу работу менеджером по продажам в Дубае, опыт 6 лет в B2B.
Резюме вышлю по запросу. Телефон +971-54-000-0126, почта dmitry.candidate@example.com",true
spam-04,jivo,2026-08-08,en,"Buy verified UAE business database, 120000 contacts with emails and phones, only $199. Telegram @example_db_seller",true
spam-05,whatsapp,2026-07-16,ru,"Сдаю квартиру в Марине, 1BR с видом, 95 тысяч в год, собственник, без комиссии. Интересует?",true
spam-06,telegram,2026-08-22,en,"Dear Sir, I am a certified accountant from Lahore with 9 years experience, looking for job opportunity in your esteemed company. CV attached. WhatsApp +971-58-000-0164",true
edge-01,form,2026-07-30,en,,true
edge-02,telegram,2026-09-05,en,🏢💰❓🙏,true
edge-03,jivo,2026-08-13,mixed,"здравствуйте, извините заранее за длинное сообщение, но хочу сразу всё описать, чтобы не переписываться неделю.
мы группа из трёх партнёров, сейчас компания зарегистрирована в Грузии, но банки там душат, поэтому смотрим ОАЭ. основной бизнес - оптовая торговля электроникой, второй - услуги по разработке ПО на аутсорс, и ещё думаем про маленькое агентство по подбору персонала, но это позже.
вопросы такие: 1) можно ли все три вида деятельности на одну лицензию или нужно три 2) mainland или freezone, если основные клиенты в саудовской аравии и европе 3) нужен ли реальный офис или хватит flexi desk, мы физически будем в дубае примерно 6 месяцев в году 4) визы: нужно 3 партнёрские + 2 сотрудника, потом ещё 4 5) банк - какой реально открывает счёт нерезидентам, у нас уже был отказ 6) бухгалтерия и corporate tax, нужен ли аудит при обороте около 4 млн AED 7) сколько всё это стоит целиком за первый год и за второй.
we can also speak english if it is easier for you. سنكون في دبي في نهاية أكتوبر.
бюджет на старт есть, ориентируемся на 120-150 тысяч дирхам, но если нужно больше - обсудим, лишь бы без сюрпризов, а то нам уже называли одну цену, а потом оказалось совсем другая.
контакты: Сергей, +971-55-000-0138, почта sergey.partner@example-holding.com, в телеграме тоже есть. когда удобно созвониться? мы в дубае с 20 числа.",true
